Electrode,sph_theta,sph_phi
Fp1,18,-2
AF7,36,-2
AF3,25,16
F1,22,40
F3,39,30
F5,49,15
F7,54,-2
FT7,72,-2
FC5,69,18
FC3,62,40
FC1,45,58
C1,90,67
C3,90,44
C5,90,21
T7 (T3),90,-2
TP7,108,-2
CP5,111,18
CP3,118,40
CP1,135,58
P1,158,40
P3,141,30
P5,131,15
P7,126,-2
P9,126,-25
PO7,144,-2
PO3,155,16
O1,162,-2
Iz (inion),-180,-25
Oz,-180,-2
POz,-180,21
Pz,-180,44
CPz,-180,67
Fpz,0,-2
Fp2,-18,-2
AF8,-36,-2
AF4,-25,16
Afz,0,21
Fz,0,44
F2,-22,40
F4,-39,30
F6,-49,15
F8,-54,-2
FT8,-72,-2
FC6,-69,18
FC4,-62,40
FC2,-45,58
FCz,0,67
Cz,-90,90
C2,-90,67
C4,-90,44
C6,-90,21
T8 (T4),-90,-2
TP8,-108,-2
CP6,-111,18
CP4,-118,40
CP2,-135,58
P2,-158,40
P4,-141,30
P6,-131,15
P8,-126,-2
P10,-126,-25
PO8,-144,-2
PO4,-155,16
O2,-162,-2
