,1A1,1A16,1A19,1A21,1A24,1A3,1A6,1A7,1B15,1B18,1B21,1B23,1B26,1B30,1B7,1B9,1C11,1C13,1C15,1C18,1C20,1C23,1C25,1D12,1D20,1D24,1D27,1D30,1D32,1D5,1D7,1D9,1E1,1E12,1E14,1E17,1E23,1E29,1E3,1E31,1E6,1EX3,1EX5,1F10,1F14,1F21,1F23,1F28,1F3,1F31,1F7,1G11,1G13,1G16,1G23,1G25,1G30,1G32,1G8,1H16,1H19,1H2,1H6,1H9,Status
0,-7899.969778774365,-13098.460173276671,-15161.0813620735,10957.776626871624,-24563.313989121554,-14971.112963087138,-10531.089917128675,-5278.818372000357,-19759.135366030652,-1901.9808615434665,-6578.878469817545,-446.9210501266134,-8843.499285370068,2030.9806213367374,-827.889096193854,260.3588929986312,1864.1059296790338,6964.6902550870345,-9445.091923778766,8367.250163510453,-9226.561077568593,9809.122499294432,-12419.83642720201,-16737.484699278157,-15253.831190695235,-12926.39799120414,-24282.970757125062,-4400.132495589999,-1416.8255079880641,-11528.431824292647,-22435.130421467446,-19203.94889187508,-7498.783020066201,-8979.124034769773,-13491.740696593562,-12699.929659660436,-3064.2912138874044,-7976.469637421942,-20766.22725517912,-5023.037594618652,-16734.60970459042,-16336.672939877088,-7203.971064804258,-4214.63283834653,-7252.752224668991,-606.8895045452997,-9171.029930176133,5775.692452054767,-2219.9802739608435,-4297.413935387964,-3166.6660247246023,-14242.739308937746,-21409.069817368374,-21025.758025631785,-17680.420456970955,187.32777794169232,-15689.611635483003,-16325.047961357113,-23387.347412010873,-6765.003125906175,-13480.053218189072,-5463.349281033829,-10249.746686979928,-23829.690344672817,30
1,-7902.844773462101,-13101.678917329245,-15165.92510312349,10962.05786896097,-24568.813978958962,-14975.081705753902,-10535.589908813827,-5282.380865417768,-19763.479108004514,-1902.1996111392725,-6582.409713292699,-450.42104365950905,-8844.436783637808,2028.3868761293236,-830.0765921519138,259.9838936915352,1853.3871994845408,6955.377772294152,-9456.685652356482,8367.875162355613,-9238.873554818245,9830.716209394708,-12430.148908147148,-16742.42219015492,-15256.049936595553,-12929.335485776392,-24286.533250542474,-4404.819986928699,-1419.450503137736,-11528.931823368775,-22436.75541846486,-19205.605138814753,-7505.158008286832,-8988.155268082335,-13498.834433486129,-12703.648402789138,-3067.916207189332,-7981.81337754806,-20770.695996922015,-5026.412588382515,-16744.2971866904,-16332.860446921612,-7204.596063649418,-4215.88283603685,-7253.595973109957,-610.1707484823894,-9175.90492116838,5792.786170469892,-2222.417769456967,-4300.445179786989,-3169.7597690081443,-14240.426813210654,-21413.319809515462,-21025.289276497915,-17683.389201485465,185.82778071330847,-15694.01787734138,-16330.641701021294,-23387.56616160668,-6766.409373307785,-13481.584465359714,-5465.2242775693085,-10250.402935767346,-23832.534089418295,30
2,-7904.782269882097,-13102.647665539243,-15167.268850640585,10962.714117748388,-24571.157724628312,-14976.36295338648,-10536.77740661963,-5284.0683622997,-19764.9791052329,-1902.4808606195945,-6582.253463581409,-450.827292908863,-8843.561785254584,2027.6681274573896,-831.4203396690077,260.4213928831471,1848.4497086077772,6954.78402339125,-9462.18564219389,8347.468950061142,-9242.186048697591,9873.309880692357,-12434.305150467462,-16740.765943215247,-15253.45619138814,-12930.272984044132,-24287.001999676344,-4410.038727285784,-1420.5442511167657,-11526.744327410715,-22434.817922044866,-19203.94889187508,-7501.689264696195,-8992.15526069136,-13503.92817407418,-12706.74214707268,-3072.7599482393216,-7985.844620099341,-20769.82099853879,-5020.225099815432,-16744.390936517175,-16329.204203677426,-7206.377310358123,-4212.91409152234,-7249.439730789643,-606.8270046607837,-9175.217422438705,5787.0049311521625,-2221.667770842775,-4298.632683136026,-3170.29101802653,-14243.30180789839,-21414.226057840944,-21024.539277883723,-17681.201705527405,190.765271590072,-15696.04912358815,-16331.829198827098,-23387.034912588293,-6765.846874347141,-13481.33446582165,-5463.505530745119,-10249.684187095412,-23829.534094961527,30
3,-7904.282270805969,-13098.991422295057,-15163.143858262529,10951.401638650994,-24565.970234213484,-14972.675460200038,-10528.21492244094,-5277.505874425521,-19761.604111469034,-1899.3871163360527,-6579.722218258511,-445.42105289822956,-8840.18679149072,2030.0431230689974,-828.045345905144,261.515140862177,1854.0121983297006,6953.627775527704,-9461.904392713568,8311.594016348961,-9240.936051007273,9870.653635600427,-12431.617655433274,-16736.703450721707,-15246.768703744929,-12928.647987046716,-24283.127006836352,-4406.81998323321,-1417.1692573529022,-11523.744332953947,-22430.66167972455,-19202.0738953396,-7491.720533115894,-8989.280266003623,-13499.084433024193,-12701.398406946562,-3068.509956092234,-7982.12587697064,-20765.821005929767,-5012.256364539643,-16737.92219846977,-16334.76669339935,-7206.939809318767,-4208.570349548478,-7245.59598789191,-603.358261070146,-9171.71742890581,5779.911194259597,-2219.2615252889095,-4293.038943471844,-3168.4160214910503,-14241.489311247426,-21406.882321410314,-21018.414289201155,-17678.545460435475,192.7652678945838,-15685.955392238817,-16324.204212916147,-23383.81616853572,-6764.659376541337,-13481.271965937134,-5459.411788309321,-10246.93419217671,-23826.34660085121,30
4,-7900.313528139203,-13095.835178127,-15158.612616635119,10950.276640729706,-24558.470248071564,-14966.925470824566,-10525.746177002558,-5273.63088158553,-19759.854114702586,-1897.668369511863,-6578.003471434322,-444.20230515016766,-8839.749292299108,2030.9493713944794,-825.5453505245042,263.5151371666888,1858.2621904767882,6961.971510110589,-9455.154405185842,8322.437746312486,-9235.217311574059,9787.747538789961,-12424.711418194258,-16737.29719962461,-15245.17495668977,-12928.491737335426,-24283.47075620119,-4403.632489122895,-1414.4505123764563,-11524.900580817493,-22430.03668087939,-19201.480146436697,-7484.501796454297,-8986.280271546855,-13493.928192551622,-12698.992161392696,-3061.666218737733,-7972.657144466467,-20764.477258412673,-5006.22512568385,-16731.734709902685,-16335.485442071284,-7205.127312667804,-4208.195350241383,-7243.439741876108,-600.6082661514423,-9168.779934333557,5776.098701304121,-2216.9802795040755,-4289.2889504008845,-3168.2285218375023,-14238.083067541304,-21397.75733827098,-21012.07055092278,-17672.920470829038,202.10900062972487,-15679.83040355625,-16317.92297452229,-23378.847427716697,-6763.128129370695,-13480.334467669394,-5458.443040099323,-10246.121693678002,-23824.721603853795,30
5,-7901.688525598555,-13099.960170505055,-15161.331361611565,10961.870369307422,-24560.657744029624,-14970.237964703914,-10529.402420246744,-5277.380874656489,-19763.041608812902,-1901.6058622363705,-6580.347217103671,-448.1397978746753,-8844.468033580066,2025.4493815570718,-828.139095731918,261.858890227015,1858.8871893219482,6974.75273649411,-9447.560669217148,8353.625188685966,-9227.467325894075,9816.059986475708,-12418.58642951169,-16740.70344333073,-15248.487450569119,-12931.366732023162,-24286.533250542474,-4404.444987621603,-1419.294253426446,-11530.056821290063,-22433.286674874224,-19205.105139738625,-7478.970556674631,-8987.030270161047,-13495.334439953233,-12701.929655964948,-3065.6037114622404,-7975.063390020332,-20765.47725656493,-5003.006381631276,-16729.078464810755,-16334.797943341608,-7204.346064111354,-4212.945341464598,-7244.845989277718,-598.5145200201565,-9169.592432832265,5788.9111776299005,-2217.0427793885915,-4290.3514484376565,-3171.916015023946,-14239.458065000656,-21398.163587520336,-21011.883051269233,-17672.920470829038,212.29648180583186,-15677.95540702077,-16313.110483414557,-23378.722427947665,-6762.628130294567,-13480.24071784262,-5460.224286808029,-10247.465441195096,-23824.50285425799,30
6,-7901.032276811137,-13097.71017466248,-15162.581359301885,10967.276609318056,-24559.376496397046,-14969.456716147464,-10530.714917821579,-5279.349621018743,-19764.19785667645,-1904.6058566931383,-6581.972214101087,-450.2335440059611,-8845.874280981674,2021.6681385438542,-829.4203433644958,261.515140862177,1864.0121798522598,6984.471468536347,-9437.623187579105,8386.156378576541,-9215.967347143132,9869.184888314301,-12410.055195275258,-16741.64094159847,-15248.424950684603,-12933.366728327674,-24285.908251697314,-4400.226245416773,-1418.575504754512,-11530.775569961997,-22433.442924585514,-19205.917638237333,-7469.408074343684,-8983.999025762021,-13490.67819855679,-12696.710915607862,-3062.541217120957,-7971.407146776147,-20762.97726118429,-4994.193897914521,-16720.672230343353,-16330.985450386132,-7201.002320289748,-4213.38284065621,-7244.720989508686,-594.2332779308109,-9167.248687162915,5772.004958868324,-2214.855283430532,-4287.570203576694,-3172.384764157816,-14235.989321410018,-21388.132356055517,-21005.383063279573,-17668.545478912918,223.98396021032272,-15670.392920994334,-16305.235497965543,-23373.878686897675,-6760.784383701345,-13475.834475984242,-5458.818039406419,-10244.871695987682,-23823.190356683153,30
7,-7896.188535761148,-13089.335190137337,-15158.143867501249,10964.432864572578,-24553.68900690609,-14964.737974866506,-10527.871173076102,-5275.849627485847,-19760.229114009682,-1902.4496106773365,-6578.472220568192,-446.35855116596946,-8842.68678687136,2023.793134617398,-827.545346829016,263.5463871089468,1873.7621618367548,6995.565198037936,-9425.904459232355,8383.843882849449,-9201.842373242518,9877.059873763317,-12397.961467621411,-16736.67220077945,-15241.299963849779,-12925.647992589948,-24275.595770752177,-4390.820012797116,-1410.2942700561428,-11524.744331106203,-22427.880434863593,-19201.41764655218,-7458.095595246289,-8974.061544123979,-13480.021968246814,-12686.492184489498,-3054.0724827690397,-7961.06341588875,-20754.19602740979,-4983.568917546802,-16708.57850268951,-16322.422966207441,-7197.127327449757,-4208.757849202026,-7240.345997592566,-588.9832876314674,-9161.686197440991,5768.754964873492,-2210.5115414566703,-4281.413964951869,-3170.197268199756,-14228.270585672293,-21376.476127593283,-20994.570583258304,-17660.764243290676,232.10894519740194,-15660.64293900984,-16294.110518521697,-23364.25370468221,-6758.503137916512,-13471.95948314425,-5457.380542062551,-10244.371696911554,-23819.909112746063,30
8,-7889.438548233421,-13078.085210924457,-15153.92512529642,10960.80787127065,-24548.314016837714,-14962.550478908446,-10526.089926367396,-5273.787131296819,-19757.44786914872,-1900.6371140263727,-6575.722225649488,-442.42105844146187,-8841.936788257168,2024.918132538686,-825.7641001203102,263.4526372821729,1881.762147054802,7004.690181177271,-9417.623224533987,8379.656390586879,-9191.748641893186,9911.841059496468,-12387.430237080467,-16730.515962154623,-15234.174977014956,-12916.11676020126,-24265.40828957607,-4381.88252931133,-1398.200542402298,-11520.869338266213,-22424.9741902336,-19197.19890434735,-7453.314354080816,-8965.874059252383,-13469.396987879096,-12676.585952793714,-3043.0725030942244,-7953.0634306707025,-20748.25853838077,-4977.19392932617,-16700.891016894042,-16318.797972905513,-7198.408575082334,-4207.351601800417,-7238.439751114829,-586.3270425395377,-9159.3737017139,5768.661215046718,-2208.7927946324803,-4277.507722169619,-3169.4472695855643,-14215.926858480383,-21371.788636254587,-20986.22684867542,-17656.79550062391,233.92144184836576,-15654.892949634368,-16286.70428220655,-23358.566215191255,-6760.065635029412,-13472.178232740056,-5460.130536981255,-10246.402943158324,-23822.75285749154,30
9,-7888.876049272777,-13076.460213927041,-15154.8313736219,10968.276607470312,-24549.78276412384,-14964.175475905862,-10528.37117215223,-5276.818375695845,-19757.666618744526,-1900.5433641995987,-6577.222222877872,-442.6085580950098,-8843.593035196842,2025.199382019008,-826.7953482148241,263.10888791733487,1883.1683944564118,7009.0339231511325,-9414.185730885607,8421.250063732272,-9188.342398187064,9890.841098299094,-12384.211493027893,-16735.07845372429,-15235.20622510947,-12920.210502637057,-24269.59578183864,-4384.820023883581,-1399.8567893419718,-11524.306831914591,-22428.88043301585,-19199.011400998315,-7453.220604254042,-8964.936560984643,-13469.990736781996,-12679.523447365964,-3042.9162533829344,-7954.8446773794085,-20750.883533530443,-4977.162679383912,-16700.172268222108,-16315.672978679713,-7198.62732467814,-4208.976598797832,-7239.408499324826,-586.2957925972797,-9160.62369940422,5813.87988149404,-2209.8240427269943,-4276.945223208975,-3169.8847687771763,-14213.364363215227,-21367.288644569435,-20984.695601504776,-17657.201749873264,234.85894011610566,-15654.017951251144,-16283.923037345588,-23358.534965248997,-6760.534384163281,-13472.365732393604,-5462.255533054799,-10249.215437961544,-23826.19035113992,30
